ID_Cliente,Nombre_Cliente,Edad,Ciudad,Dirección,Región,Teléfono,Categoría_Cliente
0e75adac-137c-41e5-817e-675d8027f403,Ofelia Múñiz-Jara,34,Valladolid,"Calle de Maristela Burgos 5 Piso 4 
Toledo, 28923",Cajamarca,+34744 537 193,D
dc114cc3-75f2-42b5-9019-e3c919c8fed2,Jimena Gallo-Mercader,50,Lleida,"Callejón de Paulino Vilalta 30 Puerta 8 
Soria, 04437",Amazonas,+34627 933 913,A
ccb4d6f3-2564-4ce4-881a-f4da1e9e5a2e,Caridad Luís-Ríos,49,Álava,"Alameda de Saturnina Ros 708 Apt. 93 
Guadalajara, 14186",Cusco,+34704 739 035,B
cb9dad14-e22d-4c86-8f0d-8b2d972a1d6b,Lucila Martin-Español,27,Guadalajara,"Plaza Dionisio Mosquera 3
Cádiz, 32577",Arequipa,+34 810 806 063,B
1797eaad-d513-4e17-8938-812c673c560b,Timoteo Ríos-Barrios,18,Jaén,"Rambla Mauricio Muñoz 72 Apt. 25 
Ourense, 53133",San Martín,+34738120619,C
ccb8d04d-043d-47eb-9b0f-8dcca2730333,Eustaquio Jesús Hervás Chaves,18,Barcelona,"Alameda de Adelaida Zapata 53 Puerta 6 
Melilla, 43686",Lambayeque,+34669186188,D
d36346b1-8d72-47e3-a531-3e83423194fd,Susana Alcaraz Garmendia,58,Lleida,"Vial Macario Galan 21 Piso 0 
León, 77555",San Martín,+34 725 365 116,B
a63d8779-31a3-4b8d-8621-64088115ae7f,María Teresa Linares Ocaña,53,Cáceres,"Glorieta de Feliciano Alsina 85 Apt. 83 
Navarra, 39104",Ucayali,+34 721 099 871,D
1bb83007-ed17-4e7a-8129-f246b37779aa,Reyes Chus Heredia Ibáñez,53,Badajoz,"Rambla de Ámbar Verdugo 62 Apt. 55 
Valencia, 51957",Cajamarca,+34 724 10 16 33,A
65314c8f-01fc-49d2-969f-d0eaf0877048,Régulo Jove Nevado,44,Melilla,"Vial de Juan Pablo Plaza 113 Piso 5 
Jaén, 73448",Madre de Dios,+34620701117,A
9fca3548-7333-41e4-b6e7-2416a82a9a42,Nacio Barceló Parejo,49,Navarra,"Pasaje de Nicanor Ordóñez 6
Madrid, 91250",Junín,+34722 700 632,B
0c3e0c4d-4afa-40fe-bf22-d236ba7f4efc,Xavier de Carrasco,21,Guadalajara,"Glorieta de Estefanía Calleja 55 Piso 3 
Albacete, 80038",Junín,+34716 566 947,B
6d12b52c-6452-4358-9ec0-ed708d23a920,Esperanza Sotelo Estrada,54,Tarragona,"Paseo de Merche Barón 82
Málaga, 05806",Huancavelica,+34705 41 85 18,C
ef966117-7fb2-489d-85c2-f87bcb655999,Marco Company Bayo,22,Badajoz,"Cañada de Elba Cuervo 64 Piso 9 
Huesca, 66113",La Libertad,+34722534141,A
60733463-ab92-4b77-8a0c-6fdfd85500ee,Perla Durán Perea,57,Baleares,"C. Ulises Vázquez 6 Apt. 17 
Cádiz, 87693",Lima,+34 618983015,C
fbce4086-6972-4b4a-9b5a-4b7110083d6a,Andrés Felipe Abascal Agudo,49,La Rioja,"Ronda Mar Castell 613 Apt. 24 
Córdoba, 49348",Pasco,+34 712 38 98 65,A
ff8e8eb5-6b6f-4da9-946a-5816451517df,Valentín Torralba Corbacho,24,Córdoba,"Cañada Eleuterio Cases 244
Melilla, 40836",Ucayali,+34 727 45 74 73,C
b5e5fd1a-9bea-43fd-8602-23fa8c5861c6,Primitivo Bravo Borrás,50,León,"Acceso de Román Patiño 16
Badajoz, 52628",Áncash,+34997101527,D
e8de6b6b-f693-4506-9865-c5068b8abc31,Régulo Amaya Ricart,58,Murcia,"C. Pelayo Alberto 5 Apt. 17 
Salamanca, 07523",Apurímac,+34 973903017,C
8634035b-2e5c-4844-9836-319285ce031d,Julio Ródenas Carretero,41,Melilla,"Cañada de Teresita Rios 888 Puerta 5 
Málaga, 26183",Áncash,+34 721 768 726,D
ca16edb7-1f1d-45c1-8c91-2c4e7945d652,Noelia Madrigal Zurita,33,Murcia,"Pasaje de Rómulo Artigas 69 Puerta 8 
Cáceres, 28999",Amazonas,+34 715 568 932,C
d8b5947c-f5e0-4766-955a-a4706b6737d9,Goyo Santamaría Montoya,29,Murcia,"C. Ramona Guzmán 97
Baleares, 70880",Arequipa,+34710 95 30 86,A
e21eb005-d504-4c70-b5c6-6a46e27a0ca1,Bernardo del Narváez,50,Melilla,"Plaza Jorge Blanch 96 Piso 3 
Málaga, 07747",La Libertad,+34 742 759 954,B
e0ef3b82-e73f-41c1-8adf-c44a79a444ed,Josefa Tamayo Ávila,39,Girona,,Tumbes,+34 927 64 01 41,D
63575e8b-0237-4fb9-83b1-6ab4f2e6c7f0,Sancho Benitez Sanchez,19,Zaragoza,"Paseo Julio César Peña 50
Huesca, 77920",Tumbes,+34977920844,A
d81b35aa-3896-4c42-9f07-c4d1cfd0303c,Carmela Ribes Ferreras,29,Huelva,"Alameda Luis Ángel Alarcón 469
Valladolid, 60954",Apurímac,+34 609 66 77 06,B
0e8ef4be-5109-441e-b0f6-b627621e7244,Vinicio Anaya Ropero,24,Guipúzcoa,,Ucayali,+34 724 215 597,A
976f1fc5-2a9f-4f13-8f0b-7fdf3081a27e,Jose Angel Esteban Acosta,56,Baleares,"Acceso Luciana Martí 78
León, 19517",Ica,+34708411291,D
6e3513b2-e964-4e46-be1d-6a38a14df7f0,Guadalupe Sales Bárcena,28,Asturias,"Acceso Paula Campoy 21 Piso 4 
Navarra, 71233",Moquegua,+34712 333 659,C
0b19631b-be3a-4145-a5d9-011c00dc5bea,Luisina María Carmen Merino Arregui,49,Burgos,"Plaza Vanesa Marco 49
Granada, 21863",Apurímac,+34 737 471 340,A
6e38ec00-81d2-4cf0-be72-a2298d7a8694,Aristides Guardiola Mate,22,Ourense,"Plaza de Isabel Prat 1
Badajoz, 80974",Áncash,,C
6bdf3275-5700-4230-b31b-2dada7dc1e24,Matilde Aguirre-Cárdenas,21,Ourense,"Vial Ana Verdejo 28
Vizcaya, 86512",Ayacucho,+34 720110908,B
413cabbb-c84b-452b-843a-2ba61882e4ee,Elisabet Bravo-Díaz,60,Melilla,"Plaza de Socorro Gallardo 93 Piso 6 
Cuenca, 76019",Apurímac,+34731 566 825,A
5129ce04-f4ca-40f5-b8e0-8e44b8942110,Eusebia Baños Tamayo,21,Barcelona,"Urbanización Noé Lozano 100 Piso 4 
Melilla, 05185",Madre de Dios,+34894 688 988,D
682cb114-53fc-4d92-a9c1-36627da59fef,Lilia Quintero Campillo,35,Girona,"Plaza de Poncio Bellido 9
Pontevedra, 20514",Madre de Dios,+34608 69 26 38,C
65fc94fe-71d5-4564-8315-ff6544db7591,Adán de Cuadrado,25,Valencia,"Glorieta de Benigna Villar 91 Puerta 3 
Lugo, 75527",Junín,+34 886 191 694,B
336df1d0-2356-4638-8da0-2af1c34ce7bb,Fausto Crespi-Coello,20,Álava,"Cuesta Reina Roma 23 Puerta 8 
Girona, 22786",La Libertad,+34728 00 56 83,A
785c1262-afae-4949-bd6b-b11ff3338b84,Viviana Vaquero Cifuentes,28,Asturias,,Arequipa,+34903 92 70 91,A
58a5080c-ebd6-4838-8673-622563dd58cf,Joaquina Chaves-Prada,22,Ourense,"C. Américo Burgos 93
Barcelona, 04992",Madre de Dios,+34611514861,D
5a0c88b6-b184-4849-a075-9edfb1b6aa6a,Loida Iborra-Carrasco,42,Burgos,"Pasaje de Nicodemo Soler 47
Valladolid, 29249",Áncash,+34 989 68 44 43,B
13368db1-3543-433b-9e7c-1d3ca09482d1,Sarita Samanta Sans Requena,23,Palencia,"Urbanización de Margarita Rovira 56 Puerta 0 
Cuenca, 90227",Ucayali,+34801 376 930,B
14f220f2-5237-4193-b954-859f31bb010d,Edu Rey Sala,31,Las Palmas,"Paseo de Amando Castañeda 319
Málaga, 20531",Tacna,+34746 321 429,A
ebec38c8-d341-480f-8d7d-c9224db13385,Domingo Herminio Barreda Araujo,18,Lleida,"C. de Amada Robledo 46
Guadalajara, 10481",Tumbes,+34 715 703 137,A
e1c11add-15d3-4c46-9c62-6133a3ab1596,Iris Vicens Puig,45,Sevilla,"Urbanización Desiderio Belmonte 969 Apt. 50 
Toledo, 98875",San Martín,+34 981 352 019,A
a57d9fff-b3a6-48a3-967b-d23436632d40,Agapito Polo Ruano,46,Baleares,"Via Glauco Salom 773 Piso 1 
Girona, 00564",Ucayali,+34712359248,D
925a6d39-661f-4939-8c4a-85487e1b6959,Lupe Correa Luque,43,Ourense,"Pasaje de Aarón Acedo 3 Apt. 35 
León, 17878",La Libertad,+34747 662 424,B
34c10542-68b5-4fb5-a8a7-7fb8b38d2882,Nuria Barco-Bonilla,46,Navarra,"Urbanización Adoración Ruano 30
Segovia, 31449",Arequipa,+34872 647 477,C
334df2f4-ba60-45ff-9083-83922427ff6c,Moisés Bayona Escobar,18,La Coruña,"Cuesta de Rosenda Fortuny 1 Piso 0 
Granada, 34855",Huancavelica,+34928 82 55 76,C
fa908e90-955f-4835-96ff-d7e0029b6c65,Lorenza Rita Aguiló Pinto,36,Ciudad,"Avenida María Luisa Riquelme 41 Apt. 46 
Toledo, 22030",San Martín,+34 715 48 07 80,A
c99963f8-a0ac-4c94-9533-fc9fd3172471,Edelmiro de Salmerón,55,Santa Cruz de Tenerife,"Acceso de Yolanda Busquets 51 Piso 4 
Melilla, 64377",Piura,+34 748 021 157,C
859d5b63-ec4c-426a-9d79-2b132f6f1a5b,Dulce Pomares Muro,41,Segovia,"Urbanización de Rafaela Pina 7 Puerta 9 
Toledo, 98478",Puno,+34 729 339 728,A
2bb8278b-1498-4c22-aa14-30f705a045f8,Trinidad Amorós Guerra,55,Ciudad,"Pasaje de María Carmen Barón 861
Córdoba, 92437",Moquegua,+34882 57 82 43,D
1a9409ce-9fee-42b6-89df-c2aed6bfca98,Valeria Roura Durán,48,Guadalajara,"Alameda Marcial Angulo 69 Apt. 16 
Lleida, 18089",Callao,+34712 66 83 71,D
a5f32b41-ebcb-4913-b561-4bd8cbbc481b,Pánfilo Villegas Cordero,30,Jaén,"Urbanización Manuela Cal 21 Piso 4 
Salamanca, 47048",La Libertad,+34711 75 88 04,D
48915097-406c-4e2f-ba32-78804e492135,Guadalupe Salinas-Polo,27,Pontevedra,"Via de Abril Cadenas 65
Guipúzcoa, 81261",Arequipa,+34846706379,B
88954ddf-e678-4bd8-986b-2bb761fae680,Marcelo del Verdugo,54,Las Palmas,"Callejón Onofre Lladó 49
Ciudad, 78154",Tumbes,+34 844832344,C
f849cefe-edc9-4634-bd5a-65adcb886e1e,Andrés Felipe Blanes Carballo,41,Asturias,"Cuesta de Pascuala Teruel 94 Apt. 07 
Ceuta, 12236",Lima,+34827 71 49 89,A
87db18c9-612a-41aa-8462-0e67f831f0e4,Corona Cazorla Ayala,45,Almería,"Rambla Pánfilo Méndez 2
Tarragona, 21199",Loreto,+34 726 014 994,D
759820be-ade8-4faa-ba33-d9d2eddc95f7,Sarita Chico Sebastián,52,Vizcaya,"Urbanización Saturnina Cobos 8
Asturias, 89387",Loreto,+34 701673400,C
5af06233-2544-4e44-94f4-bdd80355d704,Carlito Bermudez Fuente,54,Guadalajara,"Pasadizo Iker Vallés 71
Granada, 04735",Apurímac,+34 624 631 525,D
9011da69-0106-48d1-b613-6c9782e711fd,Raimundo Figueras Porta,35,Melilla,"Vial de Visitación Gras 407 Piso 8 
La Rioja, 12192",Apurímac,+34 743 30 61 83,B
3aad1005-ad97-49a1-b872-aa2f3a8f196e,Rosario Ariño Anaya,58,Asturias,"Glorieta de Francisco Sedano 868
Tarragona, 86349",Piura,+34 657 430 794,B
fc3c13a6-e2e9-4b97-a523-fc5b88b26f5c,Salomé Jover Ferreras,36,Guipúzcoa,"Plaza Victorino Tejero 307 Puerta 8 
Ciudad, 74788",La Libertad,+34801227601,D
65fd1948-f3ab-42e3-90dc-7d04082a4dee,Azeneth Rocha Pujol,27,Tarragona,"Via Victor Almansa 67
Valladolid, 33380",Moquegua,+34806 71 23 35,D
628e9bcc-0332-4410-b603-30dcc818fe20,León Jurado Castilla,45,Sevilla,"Paseo Prudencio Quintanilla 9 Puerta 5 
Cantabria, 96979",Cajamarca,+34717 47 26 35,C
552849b1-cbd9-4fa7-91ec-50346e692b6a,Adelina Almansa Amor,18,Sevilla,"Calle de Patricio Álvarez 751
La Rioja, 73806",San Martín,,C
9836fca5-bfbe-402c-a7f9-e8ad7743f606,Aurelio Solano Luna,57,Santa Cruz de Tenerife,"Calle de Chelo Mir 11 Apt. 67 
Navarra, 47860",Tacna,+34619 21 57 54,C
c0d7750a-d938-4697-ae99-bdd84c5c5b17,Paco Terrón Ramírez,28,Teruel,"Acceso de Jordi Pavón 37
Soria, 31470",Pasco,+34 708 994 287,C
62d3b313-0b59-4b9e-bc9e-052e3145b736,Juan Bautista Tamayo Bermúdez,21,Toledo,"Acceso Jeremías Ripoll 81 Apt. 29 
Málaga, 29389",Madre de Dios,+34643 31 09 86,D
8eea780d-6460-4a66-be66-7bda06d59ac1,José Almansa Torres,57,Ávila,"Camino Inocencio Barco 966
Badajoz, 91987",Piura,+34707340535,B
06350878-cdc8-4abe-bed5-5a93aa28995a,Bernabé Coca Flor,26,Salamanca,"Urbanización de Pablo Aguilera 602 Puerta 7 
Valencia, 69645",Huancavelica,+34 812012143,C
71c6514d-550a-45d9-88cd-aa04ee6c21c0,Victorino Nicolás Barba,31,Castellón,"Cuesta de Ruperta Llanos 10
Las Palmas, 24898",Amazonas,+34704 478 972,D
394a1ace-7a65-467c-acb0-c3f912296893,Melisa Osuna,36,Albacete,"Ronda de Ruperto Gomis 3 Apt. 68 
Cantabria, 59516",Madre de Dios,+34 744571262,D
52a75d3b-b140-4459-857f-ae363b2fe378,Herminio Díaz Aznar,60,La Coruña,"Glorieta Adora Azorin 48 Puerta 4 
Jaén, 86819",Piura,+34726 400 018,B
3582352b-2092-4c9a-ae1d-0dd871ba2e97,Leire Jesusa Nogués Gonzalo,21,Albacete,"C. Dimas Gargallo 76
Zamora, 89224",Ica,+34700751557,C
6c58b22d-c5fe-4cd8-b2ac-a084e0e9999d,Encarnita Luna Barrios,32,Baleares,"Cuesta de Pepe Santamaría 94 Apt. 80 
Zaragoza, 14009",Huánuco,+34986 38 03 62,A
f063784d-f7c0-466d-9420-46d65e859bc9,Alfonso de Aranda,19,Valencia,"Pasaje de Vilma Alsina 72 Puerta 2 
Badajoz, 50780",Áncash,+34641 911 351,B
4d34b8f3-7fdb-4a22-8a71-c368b624f41e,Clementina Nevado,24,Salamanca,"Paseo de Nicolás Toro 19 Puerta 5 
Huesca, 90737",Tumbes,+34701 70 77 86,A
92ac382b-f0ee-4a6c-9aab-47ce5fa10542,Mario Llobet Roselló,50,Zamora,"Cañada Carlos Camps 25 Apt. 65 
Cádiz, 18966",Ucayali,+34 713 49 02 75,A
762ad786-34d9-47d1-a671-0e1f8eaef5fc,Blanca Villanueva Malo,28,Girona,,Pasco,,B
b04f3919-3c36-43ae-8e85-564bded99be2,Maxi Conesa Fuentes,22,Guadalajara,"Avenida Plácido Vall 23
Badajoz, 00409",Pasco,+34733509807,C
195761cc-f562-4245-9aac-a9867e71cce5,Calixto Cortes Reguera,49,Huelva,"Cuesta Juan Pablo Molina 29 Apt. 04 
Murcia, 82083",Cusco,+34811 67 67 41,B
bc4e5671-5e92-4d1b-b2ef-72af76dec65c,Javier Domínguez-Tejera,33,Badajoz,"C. Plinio Canet 7 Apt. 67 
Jaén, 98193",Loreto,+34721 711 840,D
a81662d8-e2bb-4687-ab4b-170fbbed11a3,Adelina Falcón Gual,35,Asturias,"Urbanización Lucio Arcos 7
Melilla, 32541",Tumbes,+34 729924233,D
91fec6b7-b519-4795-9dc7-1bd4fa298e67,Soledad Reina Torres,28,Alicante,"Pasadizo de Alberto Recio 94
Albacete, 46904",Tumbes,+34738467938,B
50d14be0-795d-466b-8df5-d7287dea957e,Dionisia Dora Torrents Cal,19,Segovia,"Via de Severiano Garrido 73 Puerta 0 
Santa Cruz de Tenerife, 82648",Madre de Dios,+34745 151 868,A
6f352e33-4197-469c-91dd-d9e367623e85,Baudelio Fernandez Pacheco,53,Vizcaya,"Cañada Emilia Hervás 1
Asturias, 69643",Ayacucho,+34 715101751,D
461dee7d-2236-48fc-86bc-9ca0208f654e,Lorenzo Galán Cárdenas,26,Córdoba,"Vial Lilia Miralles 86 Piso 5 
Vizcaya, 37163",Lambayeque,+34 985192314,A
04c25d71-82a5-4bfb-adf6-e4f140d514a5,Sarita Solano Villena,22,Las Palmas,"Urbanización de Ismael Galindo 26
Lugo, 09622",Lambayeque,+34700 748 130,A
93a2f102-e9a6-406d-acda-2c77c0c1c46c,Pascual Chico Vargas,60,Huelva,"Vial Dorotea Bejarano 93
Tarragona, 59758",Áncash,+34 724 63 15 44,C
3fd5c924-7658-472d-9ddb-d13d16a767ca,Alejandra Cruz Larrea Bermúdez,22,Vizcaya,"Cuesta de Mireia Vázquez 46 Puerta 3 
Las Palmas, 66089",Apurímac,+34712267888,C
b1dd1397-9c98-41e3-a1e5-0677a04f98eb,Eutimio Morán Alcalá,40,Madrid,"Via de Joel Morillo 40 Puerta 9 
Ceuta, 67889",Ucayali,+34985380525,D
4d46aa56-d9cd-4b9c-a28c-0f5c273abb1b,Rosalina Duque,24,Sevilla,"Acceso Isabel Higueras 649
León, 00257",Ayacucho,+34 848 556 245,B
9234ddd7-b777-48c5-ad3d-3ef6e4d6412e,Marcelino Rivera Valverde,52,Ourense,"Callejón Rosenda Diez 439 Piso 4 
Guadalajara, 03846",Madre de Dios,+34700639169,B
3c77f643-154f-4d99-89ca-237a5d089358,Cayetana Vera Bru,22,Lleida,"Acceso Pablo Garmendia 9
Zaragoza, 67032",San Martín,+34 717 03 09 87,A
71feee9e-4697-437d-965a-1b7d1de44ace,Hipólito Porcel Palomar,58,Albacete,"Callejón de Carmina Busquets 98
Soria, 27344",Ucayali,+34 739 09 04 41,A
1c205987-86ee-4af2-ad14-dffd90a8a7b9,Donato Azorin-Mulet,25,Cádiz,"Callejón Telmo Vicente 68
Cáceres, 11607",Huancavelica,+34669 327 843,C
d190a697-e17a-4515-aa49-3feed4eb3200,Susana Múgica,21,Córdoba,"Paseo Josefina Ribera 678 Puerta 8 
Guipúzcoa, 09610",Huánuco,+34 741574704,C
6d0a991d-8f67-426a-9d57-16f3d26dc4a1,Nazaret Arturo Dávila Vidal,58,Zaragoza,"Pasaje de Ovidio Fiol 8 Puerta 4 
Cantabria, 63567",Huancavelica,+34 626 19 72 35,D
c1f15254-2538-4de1-923d-c5aadd341e95,Carlota del Cortes,47,Castellón,"Cañada de Milagros Zapata 2 Piso 3 
Zamora, 32400",Ayacucho,+34704 20 25 18,B
221e2ee2-f577-44df-98d8-8c896d4065ab,Anna Sala Azorin,54,Burgos,"Cañada Antonia Pelayo 578
Segovia, 43887",Apurímac,+34 607597321,A
5c9f02fb-625f-41ce-91ba-fe87c80553ad,Lucila Vargas Torrent,20,Cuenca,"Callejón de Leopoldo Mesa 45
Huesca, 00728",Tumbes,+34 741 432 176,B
f77177ce-67e9-4832-af17-8494bacfc03f,Aníbal de Espada,31,Baleares,"Callejón de Jordana Acedo 64
Tarragona, 79455",Loreto,+34930449529,B
e0ee5812-41bb-4bcc-8ce7-768febd4b14c,Cleto Porras Rivero,33,Málaga,"Camino de Edelmiro Estévez 1
Badajoz, 35964",Arequipa,+34 884160844,C
109746f0-8cae-43f6-b812-f91dd65096d7,Donato Reguera Miralles,35,Asturias,"Urbanización Albano Carvajal 45
Valencia, 83471",Lambayeque,+34739455188,C
7c24779a-cf83-410f-bc06-13fa3219921d,Cristian Pedrero,60,Santa Cruz de Tenerife,"Calle Fabiola Portillo 54 Piso 1 
Ávila, 34789",La Libertad,+34734 60 10 20,D
46ba8239-bbda-43cc-ba79-dd560c726853,Evaristo Pina Artigas,28,Santa Cruz de Tenerife,"Acceso Ezequiel Perez 18
Álava, 92051",Ica,+34898 119 001,A
7249144e-fc75-45bb-b085-8e8b3cf908a7,Adora Arellano Uría,47,Pontevedra,"Camino de Andrés Enríquez 820 Apt. 20 
Madrid, 98303",Apurímac,+34733 279 084,D
899c1bfb-09bf-4ea6-8376-525abcc6bc84,Calista Álvaro-Bermudez,51,Valencia,"Urbanización Adelia Roig 84 Puerta 4 
Huesca, 00388",Callao,+34706852585,C
e673d0da-1d75-4336-9d78-e1ec5cde2e06,Fermín Ribas Fuentes,57,Toledo,"Alameda de Moisés Ribera 9
Asturias, 64782",Huancavelica,+34712 165 703,A
01eeb33f-e9ad-4271-b388-6f9a86b6cb5d,Nazario Lupe Chamorro Rueda,44,Santa Cruz de Tenerife,"Rambla Rosalía Aguirre 1 Piso 8 
Lugo, 82523",Huancavelica,+34 808 971 051,B
